"","item","SA1","SA2","SA3","SA4","SA5","SA6","SA7","SB1","SB2","SB3","SB4","SB5","SB6","SB7"
"1","T01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","T02",1,1,1,1,0,0,0,1,0,0,0,0,1,0
"3","T03",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"4","T04",1,1,1,1,1,0,0,1,0,0,0,1,1,0
"5","T05",0,0,1,0,0,0,0,0,1,0,0,1,1,1
"6","T06",1,1,1,1,0,0,0,1,1,0,0,0,1,0
"7","T07",1,1,1,1,0,0,0,1,1,0,0,0,1,0
"8","T08",1,1,0,0,0,0,0,1,1,0,0,0,0,0
"9","T09",1,0,1,0,0,0,0,1,0,0,0,0,1,0
"10","T10",1,0,1,1,1,0,0,1,1,0,0,1,0,0
"11","T11",1,0,1,0,0,0,0,1,1,0,0,0,1,0
"12","T12",1,0,1,1,0,0,0,1,1,0,0,0,1,0
"13","T13",1,1,1,1,0,0,0,1,1,0,0,0,1,1
"14","T14",1,1,1,1,1,0,0,1,1,0,0,1,1,1
"15","T15",1,1,1,1,0,0,0,1,1,0,0,0,1,1
